style,pattern_name,time_step,kick,snare,hihat,tom1,tom2
rock,rock,0,0,0,0,0,0
rock,rock,1,0,0,0,0,0
rock,rock,2,0,0,0,0,0
rock,rock,3,0,0,0,0,0
rock,rock,4,0,0,0,0,0
rock,rock,5,0,0,0,0,0
rock,rock,6,0,0,0,0,0
rock,rock,7,0,0,0,0,0
rock,rock,8,0,0,0,0,0
rock,rock,9,0,0,0,0,0
rock,rock,10,0,0,0,0,0
rock,rock,11,0,0,0,0,0
rock,rock,12,0,1,0,0,0
rock,rock,13,0,0,0,1,0
rock,rock,14,0,0,0,0,0
rock,rock,15,0,0,0,0,1
rock,rock_2,0,0,0,0,0,0
rock,rock_2,1,0,0,0,0,0
rock,rock_2,2,0,0,0,0,0
rock,rock_2,3,0,1,0,0,0
rock,rock_2,4,0,0,0,0,0
rock,rock_2,5,0,0,0,0,0
rock,rock_2,6,0,0,0,0,0
rock,rock_2,7,0,1,0,0,0
rock,rock_2,8,0,0,0,0,0
rock,rock_2,9,1,0,0,0,0
rock,rock_2,10,0,0,0,0,0
rock,rock_2,11,1,0,0,0,0
rock,rock_2,12,0,1,0,0,0
rock,rock_2,13,0,1,0,0,0
rock,rock_2,14,0,0,0,0,0
rock,rock_2,15,1,0,0,0,0
rock,rock_3,0,0,1,0,0,0
rock,rock_3,1,0,1,0,0,0
rock,rock_3,2,0,1,0,0,0
rock,rock_3,3,0,1,0,0,0
rock,rock_3,4,0,1,0,0,0
rock,rock_3,5,0,1,0,0,0
rock,rock_3,6,0,1,0,0,0
rock,rock_3,7,0,1,1,0,0
rock,rock_3,8,0,1,0,0,0
rock,rock_3,9,0,1,0,0,0
rock,rock_3,10,0,0,0,1,0
rock,rock_3,11,0,0,0,1,0
rock,rock_3,12,0,0,0,1,0
rock,rock_3,13,0,0,0,1,0
rock,rock_3,14,0,0,0,0,1
rock,rock_3,15,1,0,0,0,1
rock,rock_4,0,0,0,1,0,0
rock,rock_4,1,0,0,0,0,0
rock,rock_4,2,0,0,0,0,0
rock,rock_4,3,0,0,0,0,0
rock,rock_4,4,0,0,1,0,0
rock,rock_4,5,0,0,0,0,0
rock,rock_4,6,0,0,0,0,0
rock,rock_4,7,0,0,0,0,0
rock,rock_4,8,0,0,1,0,0
rock,rock_4,9,0,0,0,0,0
rock,rock_4,10,0,0,0,0,0
rock,rock_4,11,0,0,0,0,0
rock,rock_4,12,0,0,1,0,0
rock,rock_4,13,0,0,0,0,0
rock,rock_4,14,1,1,0,0,0
rock,rock_4,15,0,1,0,0,0
rock,rock_5,0,0,0,0,0,0
rock,rock_5,1,0,0,0,0,0
rock,rock_5,2,0,0,0,0,0
rock,rock_5,3,0,0,1,0,0
rock,rock_5,4,0,0,0,0,0
rock,rock_5,5,0,0,0,0,0
rock,rock_5,6,0,1,0,0,1
rock,rock_5,7,0,0,0,0,0
rock,rock_5,8,0,0,0,1,0
rock,rock_5,9,0,1,0,0,0
rock,rock_5,10,0,1,0,0,0
rock,rock_5,11,0,1,0,0,0
rock,rock_5,12,0,1,0,0,0
rock,rock_5,13,0,0,0,1,0
rock,rock_5,14,0,0,0,1,0
rock,rock_5,15,0,0,0,0,0
rock,rock_6,0,0,0,0,0,0
rock,rock_6,1,0,0,0,0,0
rock,rock_6,2,0,1,0,0,1
rock,rock_6,3,0,0,0,0,0
rock,rock_6,4,0,1,0,0,1
rock,rock_6,5,0,0,0,0,0
rock,rock_6,6,0,1,0,0,1
rock,rock_6,7,0,0,0,0,0
rock,rock_6,8,0,1,0,0,1
rock,rock_6,9,0,0,0,0,0
rock,rock_6,10,0,1,0,0,1
rock,rock_6,11,0,0,0,0,0
rock,rock_6,12,0,1,0,0,1
rock,rock_6,13,0,0,0,0,0
rock,rock_6,14,0,1,0,0,1
rock,rock_6,15,0,0,0,0,0
rock,rock_7,0,1,0,0,0,0
rock,rock_7,1,0,0,0,0,0
rock,rock_7,2,0,1,0,0,0
rock,rock_7,3,0,1,0,0,0
rock,rock_7,4,1,1,0,0,0
rock,rock_7,5,0,0,0,0,0
rock,rock_7,6,0,1,0,0,0
rock,rock_7,7,0,1,0,0,0
rock,rock_7,8,1,1,0,0,0
rock,rock_7,9,0,1,0,0,0
rock,rock_7,10,0,1,0,0,0
rock,rock_7,11,0,1,0,0,0
rock,rock_7,12,1,0,0,0,0
rock,rock_7,13,0,1,0,0,0
rock,rock_7,14,0,1,0,0,0
rock,rock_7,15,0,1,0,0,0
rock,rock_8,0,0,0,0,0,0
rock,rock_8,1,0,0,0,0,0
rock,rock_8,2,0,0,0,0,0
rock,rock_8,3,0,0,0,0,0
rock,rock_8,4,0,0,0,0,0
rock,rock_8,5,0,0,0,0,0
rock,rock_8,6,0,0,0,0,0
rock,rock_8,7,0,0,0,0,0
rock,rock_8,8,0,1,0,0,0
rock,rock_8,9,0,1,0,0,0
rock,rock_8,10,0,0,0,0,0
rock,rock_8,11,1,0,0,0,0
rock,rock_8,12,0,1,0,0,0
rock,rock_8,13,0,1,0,0,0
rock,rock_8,14,0,0,0,0,0
rock,rock_8,15,1,0,0,0,0
rock,rock_9,0,0,1,0,0,0
rock,rock_9,1,0,1,0,0,0
rock,rock_9,2,0,1,0,0,0
rock,rock_9,3,0,1,0,0,0
rock,rock_9,4,0,0,0,1,0
rock,rock_9,5,0,0,0,1,0
rock,rock_9,6,0,0,0,1,0
rock,rock_9,7,0,0,0,1,0
rock,rock_9,8,0,0,0,1,0
rock,rock_9,9,0,0,0,1,0
rock,rock_9,10,0,0,0,1,0
rock,rock_9,11,0,0,0,1,0
rock,rock_9,12,0,0,0,0,1
rock,rock_9,13,0,0,0,0,1
rock,rock_9,14,0,0,0,0,1
rock,rock_9,15,0,0,0,0,1
rock,rock_10,0,0,1,0,0,1
rock,rock_10,1,1,0,0,0,0
rock,rock_10,2,0,1,0,0,0
rock,rock_10,3,1,0,0,0,0
rock,rock_10,4,0,1,0,0,0
rock,rock_10,5,1,0,0,0,0
rock,rock_10,6,0,0,0,1,0
rock,rock_10,7,1,0,0,0,0
rock,rock_10,8,0,0,0,1,1
rock,rock_10,9,1,1,0,0,0
rock,rock_10,10,0,1,0,0,0
rock,rock_10,11,0,1,0,0,0
rock,rock_10,12,0,1,0,0,0
rock,rock_10,13,0,0,0,1,0
rock,rock_10,14,0,0,0,0,0
rock,rock_10,15,0,0,0,0,0
rock,rock_11,0,1,0,0,0,0
rock,rock_11,1,0,0,0,0,0
rock,rock_11,2,0,0,0,0,0
rock,rock_11,3,0,0,0,0,0
rock,rock_11,4,0,1,0,0,0
rock,rock_11,5,0,0,0,0,0
rock,rock_11,6,0,0,0,0,0
rock,rock_11,7,0,1,0,0,0
rock,rock_11,8,0,0,0,1,0
rock,rock_11,9,0,0,0,0,0
rock,rock_11,10,0,0,0,0,0
rock,rock_11,11,0,1,0,0,0
rock,rock_11,12,0,1,0,0,0
rock,rock_11,13,0,0,0,0,0
rock,rock_11,14,0,0,0,0,0
rock,rock_11,15,1,0,0,0,0
rock,rock_12,0,0,1,1,0,0
rock,rock_12,1,0,0,0,0,0
rock,rock_12,2,0,0,0,0,0
rock,rock_12,3,0,0,0,0,0
rock,rock_12,4,0,1,1,0,0
rock,rock_12,5,0,0,0,0,0
rock,rock_12,6,0,1,0,0,0
rock,rock_12,7,0,0,0,0,0
rock,rock_12,8,0,0,1,0,0
rock,rock_12,9,0,0,0,0,0
rock,rock_12,10,0,1,0,0,0
rock,rock_12,11,0,0,0,1,1
rock,rock_12,12,1,0,0,0,0
rock,rock_12,13,0,0,0,0,0
rock,rock_12,14,0,0,0,0,0
rock,rock_12,15,0,0,0,0,0
rock,rock_13,0,0,1,0,0,0
rock,rock_13,1,0,0,0,0,0
rock,rock_13,2,0,1,0,0,0
rock,rock_13,3,0,0,0,0,0
rock,rock_13,4,1,0,0,0,0
rock,rock_13,5,0,0,0,0,0
rock,rock_13,6,0,1,1,0,0
rock,rock_13,7,0,0,0,0,0
rock,rock_13,8,0,1,0,0,0
rock,rock_13,9,1,0,0,0,0
rock,rock_13,10,0,0,0,0,0
rock,rock_13,11,0,0,0,0,0
rock,rock_13,12,0,0,0,0,1
rock,rock_13,13,0,0,0,0,0
rock,rock_13,14,0,0,0,0,0
rock,rock_13,15,0,0,0,0,0
rock,rock_14,0,1,0,1,0,0
rock,rock_14,1,0,0,0,0,0
rock,rock_14,2,0,0,0,0,0
rock,rock_14,3,0,0,0,0,0
rock,rock_14,4,0,1,0,0,0
rock,rock_14,5,0,0,0,0,0
rock,rock_14,6,0,0,0,0,0
rock,rock_14,7,0,0,0,0,0
rock,rock_14,8,1,0,0,0,0
rock,rock_14,9,0,0,0,0,0
rock,rock_14,10,1,0,0,0,0
rock,rock_14,11,0,0,0,0,0
rock,rock_14,12,0,1,0,0,0
rock,rock_14,13,0,0,0,0,0
rock,rock_14,14,1,0,0,0,0
rock,rock_14,15,0,0,0,0,0
rock,rock_15,0,1,0,0,0,0
rock,rock_15,1,0,0,0,0,0
rock,rock_15,2,0,0,0,0,0
rock,rock_15,3,0,0,1,0,0
rock,rock_15,4,0,1,0,0,0
rock,rock_15,5,0,0,0,0,0
rock,rock_15,6,0,0,1,0,0
rock,rock_15,7,0,1,0,0,0
rock,rock_15,8,1,0,0,0,0
rock,rock_15,9,0,0,0,0,0
rock,rock_15,10,1,0,0,0,0
rock,rock_15,11,0,0,0,0,0
rock,rock_15,12,0,1,1,0,0
rock,rock_15,13,0,0,0,0,0
rock,rock_15,14,1,0,0,0,0
rock,rock_15,15,0,0,0,0,0
rock,rock_16,0,1,1,0,0,0
rock,rock_16,1,0,0,0,0,0
rock,rock_16,2,0,1,0,0,0
rock,rock_16,3,0,0,0,0,0
rock,rock_16,4,0,0,1,0,0
rock,rock_16,5,1,0,0,0,0
rock,rock_16,6,0,1,0,0,0
rock,rock_16,7,0,0,0,0,0
rock,rock_16,8,1,0,1,0,0
rock,rock_16,9,0,0,0,0,0
rock,rock_16,10,0,1,0,0,0
